group,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28
eCommerce,ecommerce,Auctionata,Bjooli,bonial,bonagora,byebuy,coffee circle,dawanda,discounto,erento,flaconi ,home24,Junique,KW-Commerce,Lesara,Lyke,Mirapodo,Mister Spex,Modomoto,Monoqi,outfittery,Urbanara,RunaShop,Vaola,Visual Meta,wine in black,zalando,99chairs
AdTech,Ad2Games,Adjust,Adsquare,Applause,AppLift,crobo,Contiama,Datapine,DeltaMethod,Fyber,glispa,GameGenetics,IconPeak,LiquidM,Mapegy,Plista,Roq.ad,Remerge,Sociomantic,Trademob,Webtrekk,YOC,,,,,,
FinTech,Barzahlen,BillPay,Bergfürst,Bonify,Brickgate,Cashboard,FinLeap,LIQID,Mambu,Number26,OptioPay,Orderbird,Payleven,Raisin,Savedo,Smava,solarisBank,,,,,,,,,,,
Retail Technology,Inventorum,Itembase,KaufDa,Käuferportal,Locafox,Minodes,Newstore,Products Up,Qipu,,,,,,,,,,,,,,,,,,,
Marketing Solutions,Basilicom,CrossEngage,Contentful,DCMN,DC Media Networks,DigitaleSeiten,Fanpage Karma,Kyto,LinkBird,Newsletter2Go,Optivo,Uberall,UberMetrics,Styla,Zanox,,,,,,,,,,,,,
games,Aeria Games,Crowdpark,Fox & Sheep,GameDuell,Kabam,King,Softgames,TreasureHuntStudios,Wooga,gaming industry,,,,,,,,,,,,,,,,,,
app,Dushmash,EyeEm,Kitchen Stories,Memorado,MyTaxi,Onefootball,ParkTag,TvSmiles,,,,,,,,,,,,,,,,,,,,
health,Clue,Mediteo,MeeDoc,Medexo,Medigo,NeuroNation,Sanubi,,,,,,,,,,,,,,,,,,,,,
edutech,Babbel,Blinkist,Inversity,K.Lab Edumedia,Research Gate,Skive,SofaTutor,,,,,,,,,,,,,,,,,,,,,
fooddelivery,Bonativo,Deliveroo,Delivery Hero,EatFirst,Foodora,Foodpanda,HelloFresh,Marley Spoon,,,,,,,,,,,,,,,,,,,,
travel,AbroadWith,GetYourGuide,GoEuro,Guestbird,HolidayPirates,SuitePad,Wimdu,Zizoo,,,,,,,,,,,,,,,,,,,,
service,Auto1 Group,Blacklane,Book a Tiger,Carmudi,Helpling,Service Partner ONE,Thermondo,Vimcar,,,,,,,,,,,,,,,,,,,,
hr,COMATCH,GoHiring,HONEYPOT,HeavenHR,Tandemploy,Viasto,,,,,,,,,,,,,,,,,,,,,,
real estate,Lamudi,ImmobilienScout,McMakler,MyKeys24,Movago,,,,,,,,,,,,,,,,,,,,,,,
music,Ableton,Lofelt,Native Instruments,SoundCloud,music industry,,,,,,,,,,,,,,,,,,,,,,,