group,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22
Free Time,Free Time,Parental Leave,Unlimited Vacation,paid time off,,,,,,,,,,,,,,,,,,
Personal development,Education,Great mentors,career development,potential to develop ,career development,personal learning,trainings,workshops,conferences,training sessions,online learning,educational budget,coaching,MENTORING,meetups,learn@work,external training budget,offered trainings,linkedin learning account,book allowance,shared kindles,Personal development
Sport ,gym ,Yoga,Pilates,massage,gym membership,,,,,,,,,,,,,,,,,
Flexible Schedules,Working for home,flexible work time,Flexible work hours, Flexible working hours,Flexible Schedules,,,,,,,,,,,,,,,,,
Catered Meals,Free meal,Free meals,Team lunch,team breakfast,birthday cake,Cake On Your Birthday,Learning lunch,lunches,Coffee,Free Coffee,Free Fruits,Fruits,snacks,drinks,subsidized lunch,healthy lunches,bbqs,cereals,beer,brunches,cocktail nights,cocktail
Team events,offsites,oktoberfest,Company Retreats,team-events,fun events,office parties,bbq, sports activities,bbqs,thirsty thursdays,fun,parties,bbq,Lunch And Learns,bbqs,thirsty,birthday,retreat,offsite,offsites,team events,
Game Rooms,Ping pong,table soccer,kicker,playstation,table tenis,pool table,ping-pong,,,,,,,,,,,,,,,
Transportation Allowance,BVG,cars,free transport,travel,ability to travel,,,,,,,,,,,,,,,,,
Free breakfast,Coffee,Free Coffee,Free Fruits,Fruits,snacks,drinks,subsidized lunch,healthy lunches,bbqs,cereals,beer,brunches,cocktail nights,beer friday,Mystery Lunch,Breakast club,beer fridays,Free breakfast,,,,
Pets Are Welcome,bring your pet ,pets welcome,pet welcome,pet,dog,Pets Are Welcome,dogs,pets,,,,,,,,,,,,,,
modern office,modern equipment,Great office location,office space,heart of berlin,modern office,,,,,,,,,,,,,,,,,
free laptop,laptop of your choice,Macbook,modern technologies,,,,,,,,,,,,,,,,,,,
free German language courses,german classes,free German and English courses,language course,learn german,learn english,language courses,free German language courses,,,,,,,,,,,,,,,
Discounts,discount,discounts,employee discount,,,,,,,,,,,,,,,,,,,
Visa/relocation,visa sponsorship,visa assistance,visa,relocation service,relocation assistance,,,,,,,,,,,,,,,,,
Attractive compensation,An attractive compensation package,"
A competitive pay",Fair compensation,Attractive compensation,competitive wages,,equity options,virtual stock options,,,,,,,,,,,,,,